Date,Station,Category,Value
2020-11-01,Changi,Max Temperature,33.0
2020-11-02,Changi,Min Temperature,24.0
2020-11-02,Changi,Max Humidity,100.0
2020-11-04,Changi,Min Temperature,24.0
2020-11-04,Changi,Max Humidity,100.0
2020-11-07,Changi,Min Temperature,24.0
2020-11-10,Changi,Min Temperature,24.0
2020-11-10,Changi,Max Humidity,100.0
2020-11-11,Changi,Max Humidity,100.0
2020-11-12,Changi,Max Temperature,33.0
2020-11-13,Changi,Max Temperature,33.0
2020-11-15,Changi,Max Humidity,100.0
2020-11-18,Changi,Max Temperature,33.0
2020-11-18,Changi,Min Humidity,49.36
2020-11-22,Changi,Min Temperature,24.0
2020-11-22,Changi,Max Humidity,100.0
2020-11-23,Changi,Min Temperature,24.0
2020-11-28,Changi,Min Temperature,24.0
2020-12-01,Changi,Max Temperature,33.0
2020-12-01,Changi,Min Humidity,49.36
2020-12-03,Changi,Max Humidity,100.0
2020-12-04,Changi,Max Humidity,100.0
2020-12-07,Changi,Max Humidity,100.0
2020-12-09,Changi,Max Humidity,100.0
2020-12-10,Changi,Max Humidity,100.0
2020-12-11,Changi,Min Temperature,23.0
2020-12-11,Changi,Max Humidity,100.0
2020-12-12,Changi,Min Temperature,23.0
2020-12-13,Changi,Min Temperature,23.0
2020-12-13,Changi,Max Humidity,100.0
2020-12-14,Changi,Max Humidity,100.0
2020-12-15,Changi,Max Humidity,100.0
2020-12-16,Changi,Max Humidity,100.0
2020-12-18,Changi,Min Temperature,23.0
2020-12-18,Changi,Max Humidity,100.0
2020-12-24,Changi,Max Humidity,100.0
2020-12-25,Changi,Max Humidity,100.0
2020-12-26,Changi,Max Humidity,100.0
2020-12-27,Changi,Min Temperature,23.0
2020-12-27,Changi,Max Humidity,100.0
